; Gadget version 2.3.7 running on mfri-gadget Wed Jul 27 17:21:32 2022
; a simulation run was performed giving a likelihood value of 0
; -- data --
switch	value		lower	upper	optimise
lingimm.M	           0	       0      100        0
lingimm.init.scalar	           0	       0      300        0
lingimm.init	           0	       0      100        0
ling.Linf	         160	       0      200        0
lingimm.walpha	         0.1	       0      100        0
lingimm.wbeta	           2	       0      100        0
lingmat.M	        0.95	       0      100        0
lingmat.init.scalar	         100	       0      300        0
lingmat.init	           1	       0      100        0
lingmat.walpha	       1e-06	       0      100        0
lingmat.wbeta	           2	       0      100        0
spawn.prop.alpha	         0.5	       0      100        0
spawn.prop.l50	         120	       0      500        0
spawn.mort.alpha	           0	       0      100        0
spawn.mort.beta	           0	       0      100        0
spawn.weightloss	         0.1	       0      100        0
ricker.mu	           1	       0      100        0
ricker.lambda	       1e-06	       0      100        0
