; Gadget version 2.3.7 running on mfri-gadget Wed Jul 27 17:21:40 2022
; Predation output file for the following predators igfs
; Consuming the following preys lingimm
; Printing the following information at the end of each timestep
; year-step-area-pred length-prey length-biomass consumed
1982    1          1       len1      len20          0
1982    1          1       len1      len24          0
1982    1          1       len1      len28          0
1982    1          1       len1      len32          0
1982    1          1       len1      len36          0
1982    1          1       len1      len40          0
1982    1          1       len1      len44          0
1982    1          1       len1      len48          0
1982    1          1       len1      len52          0
1982    1          1       len1      len56          0
1982    1          1       len1      len60          0
1982    1          1       len1      len64          0
1982    1          1       len1      len68          0
1982    1          1       len1      len72          0
1982    1          1       len1      len76          0
1982    1          1       len1      len80 1.58028e-10
1982    1          1       len1      len84 3.63378e-09
1982    1          1       len1      len88 7.08949e-08
1982    1          1       len1      len92  1.174e-06
1982    1          1       len1      len96 1.65066e-05
1982    1          1       len1     len100 0.000197112
1982    1          1       len1     len104  0.0019996
1982    1          1       len1     len108  0.0172365
1982    1          1       len1     len112   0.126275
1982    1          1       len1     len116   0.786378
1982    1          1       len1     len120     4.1635
1982    1          1       len1     len124    18.7441
1982    1          1       len1     len128     71.764
1982    1          1       len1     len132    233.689
1982    1          1       len1     len136    647.307
1982    1          1       len1     len140    1525.33
1982    1          1       len1     len144    3058.03
1982    1          1       len1     len148    5216.51
1982    1          1       len1     len152    7572.05
1982    1          1       len1     len156    9353.48
1982    2          1       len1      len20          0
1982    2          1       len1      len24          0
1982    2          1       len1      len28          0
1982    2          1       len1      len32          0
1982    2          1       len1      len36          0
1982    2          1       len1      len40          0
1982    2          1       len1      len44          0
1982    2          1       len1      len48          0
1982    2          1       len1      len52          0
1982    2          1       len1      len56          0
1982    2          1       len1      len60          0
1982    2          1       len1      len64          0
1982    2          1       len1      len68          0
1982    2          1       len1      len72          0
1982    2          1       len1      len76          0
1982    2          1       len1      len80          0
1982    2          1       len1      len84 8.64128e-10
1982    2          1       len1      len88 1.68591e-08
1982    2          1       len1      len92 2.79181e-07
1982    2          1       len1      len96 3.92533e-06
1982    2          1       len1     len100 4.68739e-05
1982    2          1       len1     len104 0.000475513
1982    2          1       len1     len108 0.00409891
1982    2          1       len1     len112  0.0300288
1982    2          1       len1     len116   0.187004
1982    2          1       len1     len120   0.990097
1982    2          1       len1     len124    4.45741
1982    2          1       len1     len128    17.0658
1982    2          1       len1     len132    55.5723
1982    2          1       len1     len136    153.932
1982    2          1       len1     len140     362.73
1982    2          1       len1     len144    727.212
1982    2          1       len1     len148    1240.51
1982    2          1       len1     len152    1800.66
1982    2          1       len1     len156    2224.29
1982    3          1       len1      len20          0
1982    3          1       len1      len24          0
1982    3          1       len1      len28          0
1982    3          1       len1      len32          0
1982    3          1       len1      len36          0
1982    3          1       len1      len40          0
1982    3          1       len1      len44          0
1982    3          1       len1      len48          0
1982    3          1       len1      len52          0
1982    3          1       len1      len56          0
1982    3          1       len1      len60          0
1982    3          1       len1      len64          0
1982    3          1       len1      len68          0
1982    3          1       len1      len72          0
1982    3          1       len1      len76          0
1982    3          1       len1      len80 2.06804e-10
1982    3          1       len1      len84 4.75537e-09
1982    3          1       len1      len88 9.2777e-08
1982    3          1       len1      len92 1.53636e-06
1982    3          1       len1      len96 2.16014e-05
1982    3          1       len1     len100 0.000257951
1982    3          1       len1     len104 0.00261679
1982    3          1       len1     len108  0.0225566
1982    3          1       len1     len112   0.165251
1982    3          1       len1     len116     1.0291
1982    3          1       len1     len120    5.44858
1982    3          1       len1     len124    24.5295
1982    3          1       len1     len128    93.9142
1982    3          1       len1     len132    305.819
1982    3          1       len1     len136    847.102
1982    3          1       len1     len140    1996.13
1982    3          1       len1     len144    4001.91
1982    3          1       len1     len148    6826.61
1982    3          1       len1     len152    9909.19
1982    3          1       len1     len156    12240.5
1982    4          1       len1      len20          0
1982    4          1       len1      len24          0
1982    4          1       len1      len28          0
1982    4          1       len1      len32          0
1982    4          1       len1      len36          0
1982    4          1       len1      len40          0
1982    4          1       len1      len44          0
1982    4          1       len1      len48          0
1982    4          1       len1      len52          0
1982    4          1       len1      len56          0
1982    4          1       len1      len60          0
1982    4          1       len1      len64          0
1982    4          1       len1      len68          0
1982    4          1       len1      len72          0
1982    4          1       len1      len76          0
1982    4          1       len1      len80 3.91671e-10
1982    4          1       len1      len84 9.00628e-09
1982    4          1       len1      len88 1.75712e-07
1982    4          1       len1      len92 2.90974e-06
1982    4          1       len1      len96 4.09113e-05
1982    4          1       len1     len100 0.000488538
1982    4          1       len1     len104 0.00495598
1982    4          1       len1     len108  0.0427205
1982    4          1       len1     len112   0.312972
1982    4          1       len1     len116    1.94903
1982    4          1       len1     len120    10.3192
1982    4          1       len1     len124    46.4569
1982    4          1       len1     len128    177.866
1982    4          1       len1     len132    579.196
1982    4          1       len1     len136    1604.34
1982    4          1       len1     len140    3780.52
1982    4          1       len1     len144    7579.29
1982    4          1       len1     len148    12929.1
1982    4          1       len1     len152    18767.2
1982    4          1       len1     len156    23182.5
1983    1          1       len1      len20          0
1983    1          1       len1      len24          0
1983    1          1       len1      len28          0
1983    1          1       len1      len32          0
1983    1          1       len1      len36          0
1983    1          1       len1      len40          0
1983    1          1       len1      len44          0
1983    1          1       len1      len48          0
1983    1          1       len1      len52          0
1983    1          1       len1      len56          0
1983    1          1       len1      len60          0
1983    1          1       len1      len64          0
1983    1          1       len1      len68          0
1983    1          1       len1      len72          0
1983    1          1       len1      len76          0
1983    1          1       len1      len80 5.99633e-10
1983    1          1       len1      len84 1.37883e-08
1983    1          1       len1      len88 2.69008e-07
1983    1          1       len1      len92 4.45469e-06
1983    1          1       len1      len96 6.26337e-05
1983    1          1       len1     len100 0.000747933
1983    1          1       len1     len104 0.00758742
1983    1          1       len1     len108  0.0654034
1983    1          1       len1     len112   0.479148
1983    1          1       len1     len116    2.98389
1983    1          1       len1     len120    15.7983
1983    1          1       len1     len124    71.1238
1983    1          1       len1     len128    272.306
1983    1          1       len1     len132    886.727
1983    1          1       len1     len136    2456.19
1983    1          1       len1     len140    5787.82
1983    1          1       len1     len144    11603.6
1983    1          1       len1     len148    19793.9
1983    1          1       len1     len152    28731.9
1983    1          1       len1     len156    35491.5
1983    2          1       len1      len20          0
1983    2          1       len1      len24          0
1983    2          1       len1      len28          0
1983    2          1       len1      len32          0
1983    2          1       len1      len36          0
1983    2          1       len1      len40          0
1983    2          1       len1      len44          0
1983    2          1       len1      len48          0
1983    2          1       len1      len52          0
1983    2          1       len1      len56          0
1983    2          1       len1      len60          0
1983    2          1       len1      len64          0
1983    2          1       len1      len68          0
1983    2          1       len1      len72          0
1983    2          1       len1      len76          0
1983    2          1       len1      len80          0
1983    2          1       len1      len84 1.80378e-09
1983    2          1       len1      len88 3.51916e-08
1983    2          1       len1      len92 5.82761e-07
1983    2          1       len1      len96 8.19371e-06
1983    2          1       len1     len100 9.78443e-05
1983    2          1       len1     len104 0.000992582
1983    2          1       len1     len108 0.00855604
1983    2          1       len1     len112  0.0626819
1983    2          1       len1     len116   0.390351
1983    2          1       len1     len120    2.06672
1983    2          1       len1     len124    9.30438
1983    2          1       len1     len128     35.623
1983    2          1       len1     len132    116.001
1983    2          1       len1     len136    321.317
1983    2          1       len1     len140    757.161
1983    2          1       len1     len144    1517.98
1983    2          1       len1     len148    2589.43
1983    2          1       len1     len152    3758.69
1983    2          1       len1     len156    4642.98
1983    3          1       len1      len20          0
1983    3          1       len1      len24          0
1983    3          1       len1      len28          0
1983    3          1       len1      len32          0
1983    3          1       len1      len36          0
1983    3          1       len1      len40          0
1983    3          1       len1      len44          0
1983    3          1       len1      len48          0
1983    3          1       len1      len52          0
1983    3          1       len1      len56          0
1983    3          1       len1      len60          0
1983    3          1       len1      len64          0
1983    3          1       len1      len68          0
1983    3          1       len1      len72          0
1983    3          1       len1      len76          0
1983    3          1       len1      len80 2.31863e-10
1983    3          1       len1      len84 5.33157e-09
1983    3          1       len1      len88 1.04019e-07
1983    3          1       len1      len92 1.72252e-06
1983    3          1       len1      len96 2.42189e-05
1983    3          1       len1     len100 0.000289207
1983    3          1       len1     len104 0.00293386
1983    3          1       len1     len108  0.0252898
1983    3          1       len1     len112   0.185274
1983    3          1       len1     len116    1.15379
1983    3          1       len1     len120    6.10879
1983    3          1       len1     len124    27.5018
1983    3          1       len1     len128    105.294
1983    3          1       len1     len132    342.875
1983    3          1       len1     len136    949.745
1983    3          1       len1     len140    2238.01
1983    3          1       len1     len144    4486.82
1983    3          1       len1     len148    7653.79
1983    3          1       len1     len152    11109.9
1983    3          1       len1     len156    13723.7
1983    4          1       len1      len20          0
1983    4          1       len1      len24          0
1983    4          1       len1      len28          0
1983    4          1       len1      len32          0
1983    4          1       len1      len36          0
1983    4          1       len1      len40          0
1983    4          1       len1      len44          0
1983    4          1       len1      len48          0
1983    4          1       len1      len52          0
1983    4          1       len1      len56          0
1983    4          1       len1      len60          0
1983    4          1       len1      len64          0
1983    4          1       len1      len68          0
1983    4          1       len1      len72          0
1983    4          1       len1      len76          0
1983    4          1       len1      len80 3.80078e-10
1983    4          1       len1      len84 8.73971e-09
1983    4          1       len1      len88 1.70511e-07
1983    4          1       len1      len92 2.82361e-06
1983    4          1       len1      len96 3.97004e-05
1983    4          1       len1     len100 0.000474078
1983    4          1       len1     len104 0.00480929
1983    4          1       len1     len108   0.041456
1983    4          1       len1     len112   0.303708
1983    4          1       len1     len116    1.89134
1983    4          1       len1     len120    10.0137
1983    4          1       len1     len124    45.0819
1983    4          1       len1     len128    172.601
1983    4          1       len1     len132    562.053
1983    4          1       len1     len136    1556.86
1983    4          1       len1     len140    3668.62
1983    4          1       len1     len144    7354.95
1983    4          1       len1     len148    12546.4
1983    4          1       len1     len152    18211.7
1983    4          1       len1     len156    22496.3
1984    1          1       len1      len20          0
1984    1          1       len1      len24          0
1984    1          1       len1      len28          0
1984    1          1       len1      len32          0
1984    1          1       len1      len36          0
1984    1          1       len1      len40          0
1984    1          1       len1      len44          0
1984    1          1       len1      len48          0
1984    1          1       len1      len52          0
1984    1          1       len1      len56          0
1984    1          1       len1      len60          0
1984    1          1       len1      len64          0
1984    1          1       len1      len68          0
1984    1          1       len1      len72          0
1984    1          1       len1      len76          0
1984    1          1       len1      len80 1.98536e-10
1984    1          1       len1      len84 4.56523e-09
1984    1          1       len1      len88 8.90675e-08
1984    1          1       len1      len92 1.47493e-06
1984    1          1       len1      len96 2.07377e-05
1984    1          1       len1     len100 0.000247637
1984    1          1       len1     len104 0.00251216
1984    1          1       len1     len108  0.0216548
1984    1          1       len1     len112   0.158644
1984    1          1       len1     len116   0.987952
1984    1          1       len1     len120    5.23073
1984    1          1       len1     len124    23.5488
1984    1          1       len1     len128    90.1593
1984    1          1       len1     len132    293.591
1984    1          1       len1     len136    813.232
1984    1          1       len1     len140    1916.32
1984    1          1       len1     len144     3841.9
1984    1          1       len1     len148    6553.67
1984    1          1       len1     len152       9513
1984    1          1       len1     len156    11751.1
1984    2          1       len1      len20          0
1984    2          1       len1      len24          0
1984    2          1       len1      len28          0
1984    2          1       len1      len32          0
1984    2          1       len1      len36          0
1984    2          1       len1      len40          0
1984    2          1       len1      len44          0
1984    2          1       len1      len48          0
1984    2          1       len1      len52          0
1984    2          1       len1      len56          0
1984    2          1       len1      len60          0
1984    2          1       len1      len64          0
1984    2          1       len1      len68          0
1984    2          1       len1      len72          0
1984    2          1       len1      len76          0
1984    2          1       len1      len80          0
1984    2          1       len1      len84 1.76765e-09
1984    2          1       len1      len88 3.44869e-08
1984    2          1       len1      len92 5.71091e-07
1984    2          1       len1      len96 8.02963e-06
1984    2          1       len1     len100 9.5885e-05
1984    2          1       len1     len104 0.000972706
1984    2          1       len1     len108  0.0083847
1984    2          1       len1     len112  0.0614267
1984    2          1       len1     len116   0.382534
1984    2          1       len1     len120    2.02533
1984    2          1       len1     len124    9.11806
1984    2          1       len1     len128    34.9096
1984    2          1       len1     len132    113.678
1984    2          1       len1     len136    314.883
1984    2          1       len1     len140    741.998
1984    2          1       len1     len144    1487.58
1984    2          1       len1     len148    2537.57
1984    2          1       len1     len152    3683.42
1984    2          1       len1     len156       4550
1984    3          1       len1      len20          0
1984    3          1       len1      len24          0
1984    3          1       len1      len28          0
1984    3          1       len1      len32          0
1984    3          1       len1      len36          0
1984    3          1       len1      len40          0
1984    3          1       len1      len44          0
1984    3          1       len1      len48          0
1984    3          1       len1      len52          0
1984    3          1       len1      len56          0
1984    3          1       len1      len60          0
1984    3          1       len1      len64          0
1984    3          1       len1      len68          0
1984    3          1       len1      len72          0
1984    3          1       len1      len76          0
1984    3          1       len1      len80          0
1984    3          1       len1      len84 2.20974e-09
1984    3          1       len1      len88 4.3112e-08
1984    3          1       len1      len92 7.1392e-07
1984    3          1       len1      len96 1.00378e-05
1984    3          1       len1     len100 0.000119866
1984    3          1       len1     len104 0.00121598
1984    3          1       len1     len108  0.0104817
1984    3          1       len1     len112  0.0767895
1984    3          1       len1     len116   0.478205
1984    3          1       len1     len120    2.53187
1984    3          1       len1     len124    11.3985
1984    3          1       len1     len128    43.6404
1984    3          1       len1     len132    142.109
1984    3          1       len1     len136    393.634
1984    3          1       len1     len140    927.571
1984    3          1       len1     len144    1859.62
1984    3          1       len1     len148    3172.22
1984    3          1       len1     len152    4604.64
1984    3          1       len1     len156    5687.95
1984    4          1       len1      len20          0
1984    4          1       len1      len24          0
1984    4          1       len1      len28          0
1984    4          1       len1      len32          0
1984    4          1       len1      len36          0
1984    4          1       len1      len40          0
1984    4          1       len1      len44          0
1984    4          1       len1      len48          0
1984    4          1       len1      len52          0
1984    4          1       len1      len56          0
1984    4          1       len1      len60          0
1984    4          1       len1      len64          0
1984    4          1       len1      len68          0
1984    4          1       len1      len72          0
1984    4          1       len1      len76          0
1984    4          1       len1      len80 5.46349e-10
1984    4          1       len1      len84 1.2563e-08
1984    4          1       len1      len88 2.45104e-07
1984    4          1       len1      len92 4.05884e-06
1984    4          1       len1      len96 5.7068e-05
1984    4          1       len1     len100 0.000681471
1984    4          1       len1     len104 0.00691319
1984    4          1       len1     len108  0.0595915
1984    4          1       len1     len112    0.43657
1984    4          1       len1     len116    2.71874
1984    4          1       len1     len120    14.3944
1984    4          1       len1     len124    64.8036
1984    4          1       len1     len128    248.109
1984    4          1       len1     len132    807.931
1984    4          1       len1     len136    2237.93
1984    4          1       len1     len140    5273.51
1984    4          1       len1     len144    10572.5
1984    4          1       len1     len148      18035
1984    4          1       len1     len152    26178.7
1984    4          1       len1     len156    32337.7
1985    1          1       len1      len20          0
1985    1          1       len1      len24          0
1985    1          1       len1      len28          0
1985    1          1       len1      len32          0
1985    1          1       len1      len36          0
1985    1          1       len1      len40          0
1985    1          1       len1      len44          0
1985    1          1       len1      len48          0
1985    1          1       len1      len52          0
1985    1          1       len1      len56          0
1985    1          1       len1      len60          0
1985    1          1       len1      len64          0
1985    1          1       len1      len68          0
1985    1          1       len1      len72          0
1985    1          1       len1      len76          0
1985    1          1       len1      len80 1.56465e-10
1985    1          1       len1      len84 3.59784e-09
1985    1          1       len1      len88 7.01938e-08
1985    1          1       len1      len92 1.16239e-06
1985    1          1       len1      len96 1.63433e-05
1985    1          1       len1     len100 0.000195162
1985    1          1       len1     len104 0.00197982
1985    1          1       len1     len108   0.017066
1985    1          1       len1     len112   0.125027
1985    1          1       len1     len116   0.778601
1985    1          1       len1     len120    4.12232
1985    1          1       len1     len124    18.5587
1985    1          1       len1     len128    71.0542
1985    1          1       len1     len132    231.378
1985    1          1       len1     len136    640.905
1985    1          1       len1     len140    1510.25
1985    1          1       len1     len144    3027.79
1985    1          1       len1     len148    5164.92
1985    1          1       len1     len152    7497.16
1985    1          1       len1     len156    9260.97
1985    2          1       len1      len20          0
1985    2          1       len1      len24          0
1985    2          1       len1      len28          0
1985    2          1       len1      len32          0
1985    2          1       len1      len36          0
1985    2          1       len1      len40          0
1985    2          1       len1      len44          0
1985    2          1       len1      len48          0
1985    2          1       len1      len52          0
1985    2          1       len1      len56          0
1985    2          1       len1      len60          0
1985    2          1       len1      len64          0
1985    2          1       len1      len68          0
1985    2          1       len1      len72          0
1985    2          1       len1      len76          0
1985    2          1       len1      len80          0
1985    2          1       len1      len84 1.79892e-10
1985    2          1       len1      len88 3.50969e-09
1985    2          1       len1      len92 5.81193e-08
1985    2          1       len1      len96 8.17167e-07
