; Gadget version 2.3.7 running on mfri-gadget Wed Jul 27 17:21:40 2022
; Predation output file for the following predators igfs
; Consuming the following preys lingmat
; Printing the following information at the end of each timestep
; year-step-area-pred length-prey length-biomass consumed
1982    1          1       len1      len20          0
1982    1          1       len1      len24          0
1982    1          1       len1      len28          0
1982    1          1       len1      len32          0
1982    1          1       len1      len36          0
1982    1          1       len1      len40          0
1982    1          1       len1      len44          0
1982    1          1       len1      len48          0
1982    1          1       len1      len52          0
1982    1          1       len1      len56          0
1982    1          1       len1      len60          0
1982    1          1       len1      len64          0
1982    1          1       len1      len68          0
1982    1          1       len1      len72          0
1982    1          1       len1      len76          0
1982    1          1       len1      len80 2.89718e-10
1982    1          1       len1      len84 6.66193e-09
1982    1          1       len1      len88 1.29974e-07
1982    1          1       len1      len92 2.15233e-06
1982    1          1       len1      len96 3.02621e-05
1982    1          1       len1     len100 0.000361371
1982    1          1       len1     len104 0.00366593
1982    1          1       len1     len108  0.0316003
1982    1          1       len1     len112   0.231505
1982    1          1       len1     len116    1.44169
1982    1          1       len1     len120    7.63308
1982    1          1       len1     len124    34.3641
1982    1          1       len1     len128    131.567
1982    1          1       len1     len132    428.431
1982    1          1       len1     len136    1186.73
1982    1          1       len1     len140    2796.44
1982    1          1       len1     len144    5606.39
1982    1          1       len1     len148     9563.6
1982    1          1       len1     len152    13882.1
1982    1          1       len1     len156      17148
1982    2          1       len1      len20          0
1982    2          1       len1      len24          0
1982    2          1       len1      len28          0
1982    2          1       len1      len32          0
1982    2          1       len1      len36          0
1982    2          1       len1      len40          0
1982    2          1       len1      len44          0
1982    2          1       len1      len48          0
1982    2          1       len1      len52          0
1982    2          1       len1      len56          0
1982    2          1       len1      len60          0
1982    2          1       len1      len64          0
1982    2          1       len1      len68          0
1982    2          1       len1      len72          0
1982    2          1       len1      len76          0
1982    2          1       len1      len80          0
1982    2          1       len1      len84 1.58423e-09
1982    2          1       len1      len88 3.09083e-08
1982    2          1       len1      len92 5.11832e-07
1982    2          1       len1      len96 7.19644e-06
1982    2          1       len1     len100 8.59355e-05
1982    2          1       len1     len104 0.000871774
1982    2          1       len1     len108 0.00751467
1982    2          1       len1     len112  0.0550528
1982    2          1       len1     len116   0.342841
1982    2          1       len1     len120    1.81518
1982    2          1       len1     len124    8.17193
1982    2          1       len1     len128    31.2872
1982    2          1       len1     len132    101.883
1982    2          1       len1     len136    282.209
1982    2          1       len1     len140    665.005
1982    2          1       len1     len144    1333.22
1982    2          1       len1     len148    2274.26
1982    2          1       len1     len152    3301.22
1982    2          1       len1     len156    4077.87
1982    3          1       len1      len20          0
1982    3          1       len1      len24          0
1982    3          1       len1      len28          0
1982    3          1       len1      len32          0
1982    3          1       len1      len36          0
1982    3          1       len1      len40          0
1982    3          1       len1      len44          0
1982    3          1       len1      len48          0
1982    3          1       len1      len52          0
1982    3          1       len1      len56          0
1982    3          1       len1      len60          0
1982    3          1       len1      len64          0
1982    3          1       len1      len68          0
1982    3          1       len1      len72          0
1982    3          1       len1      len76          0
1982    3          1       len1      len80 3.79141e-10
1982    3          1       len1      len84 8.71817e-09
1982    3          1       len1      len88 1.70091e-07
1982    3          1       len1      len92 2.81665e-06
1982    3          1       len1      len96 3.96026e-05
1982    3          1       len1     len100 0.00047291
1982    3          1       len1     len104 0.00479744
1982    3          1       len1     len108  0.0413538
1982    3          1       len1     len112    0.30296
1982    3          1       len1     len116    1.88668
1982    3          1       len1     len120    9.98907
1982    3          1       len1     len124    44.9708
1982    3          1       len1     len128    172.176
1982    3          1       len1     len132    560.668
1982    3          1       len1     len136    1553.02
1982    3          1       len1     len140    3659.58
1982    3          1       len1     len144    7336.83
1982    3          1       len1     len148    12515.5
1982    3          1       len1     len152    18166.9
1982    3          1       len1     len156    22440.9
1982    4          1       len1      len20          0
1982    4          1       len1      len24          0
1982    4          1       len1      len28          0
1982    4          1       len1      len32          0
1982    4          1       len1      len36          0
1982    4          1       len1      len40          0
1982    4          1       len1      len44          0
1982    4          1       len1      len48          0
1982    4          1       len1      len52          0
1982    4          1       len1      len56          0
1982    4          1       len1      len60          0
1982    4          1       len1      len64          0
1982    4          1       len1      len68          0
1982    4          1       len1      len72          0
1982    4          1       len1      len76          0
1982    4          1       len1      len80 7.18063e-10
1982    4          1       len1      len84 1.65115e-08
1982    4          1       len1      len88 3.22139e-07
1982    4          1       len1      len92 5.33451e-06
1982    4          1       len1      len96 7.50041e-05
1982    4          1       len1     len100 0.000895654
1982    4          1       len1     len104 0.00908597
1982    4          1       len1     len108  0.0783208
1982    4          1       len1     len112   0.573782
1982    4          1       len1     len116    3.57322
1982    4          1       len1     len120    18.9185
1982    4          1       len1     len124     85.171
1982    4          1       len1     len128    326.088
1982    4          1       len1     len132    1061.86
1982    4          1       len1     len136    2941.29
1982    4          1       len1     len140    6930.95
1982    4          1       len1     len144    13895.4
1982    4          1       len1     len148    23703.3
1982    4          1       len1     len152    34406.6
1982    4          1       len1     len156    42501.2
1983    1          1       len1      len20          0
1983    1          1       len1      len24          0
1983    1          1       len1      len28          0
1983    1          1       len1      len32          0
1983    1          1       len1      len36          0
1983    1          1       len1      len40          0
1983    1          1       len1      len44          0
1983    1          1       len1      len48          0
1983    1          1       len1      len52          0
1983    1          1       len1      len56          0
1983    1          1       len1      len60          0
1983    1          1       len1      len64          0
1983    1          1       len1      len68          0
1983    1          1       len1      len72          0
1983    1          1       len1      len76          0
1983    1          1       len1      len80 1.09933e-09
1983    1          1       len1      len84 2.52785e-08
1983    1          1       len1      len88 4.93182e-07
1983    1          1       len1      len92 8.16693e-06
1983    1          1       len1      len96 0.000114828
1983    1          1       len1     len100 0.00137121
1983    1          1       len1     len104  0.0139103
1983    1          1       len1     len108   0.119906
1983    1          1       len1     len112   0.878438
1983    1          1       len1     len116    5.47046
1983    1          1       len1     len120    28.9635
1983    1          1       len1     len124    130.394
1983    1          1       len1     len128    499.228
1983    1          1       len1     len132    1625.67
1983    1          1       len1     len136    4503.01
1983    1          1       len1     len140      10611
1983    1          1       len1     len144    21273.3
1983    1          1       len1     len148    36288.8
1983    1          1       len1     len152    52675.1
1983    1          1       len1     len156    65067.7
1983    2          1       len1      len20          0
1983    2          1       len1      len24          0
1983    2          1       len1      len28          0
1983    2          1       len1      len32          0
1983    2          1       len1      len36          0
1983    2          1       len1      len40          0
1983    2          1       len1      len44          0
1983    2          1       len1      len48          0
1983    2          1       len1      len52          0
1983    2          1       len1      len56          0
1983    2          1       len1      len60          0
1983    2          1       len1      len64          0
1983    2          1       len1      len68          0
1983    2          1       len1      len72          0
1983    2          1       len1      len76          0
1983    2          1       len1      len80 1.43813e-10
1983    2          1       len1      len84 3.30692e-09
1983    2          1       len1      len88 6.45179e-08
1983    2          1       len1      len92 1.06839e-06
1983    2          1       len1      len96 1.50218e-05
1983    2          1       len1     len100 0.000179381
1983    2          1       len1     len104 0.00181973
1983    2          1       len1     len108  0.0156861
1983    2          1       len1     len112   0.114917
1983    2          1       len1     len116   0.715643
1983    2          1       len1     len120    3.78899
1983    2          1       len1     len124     17.058
1983    2          1       len1     len128    65.3087
1983    2          1       len1     len132    212.669
1983    2          1       len1     len136    589.081
1983    2          1       len1     len140    1388.13
1983    2          1       len1     len144    2782.96
1983    2          1       len1     len148    4747.28
1983    2          1       len1     len152    6890.94
1983    2          1       len1     len156    8512.13
1983    3          1       len1      len20          0
1983    3          1       len1      len24          0
1983    3          1       len1      len28          0
1983    3          1       len1      len32          0
1983    3          1       len1      len36          0
1983    3          1       len1      len40          0
1983    3          1       len1      len44          0
1983    3          1       len1      len48          0
1983    3          1       len1      len52          0
1983    3          1       len1      len56          0
1983    3          1       len1      len60          0
1983    3          1       len1      len64          0
1983    3          1       len1      len68          0
1983    3          1       len1      len72          0
1983    3          1       len1      len76          0
1983    3          1       len1      len80 4.25082e-10
1983    3          1       len1      len84 9.77455e-09
1983    3          1       len1      len88 1.90701e-07
1983    3          1       len1      len92 3.15795e-06
1983    3          1       len1      len96 4.44012e-05
1983    3          1       len1     len100 0.000530213
1983    3          1       len1     len104 0.00537875
1983    3          1       len1     len108  0.0463647
1983    3          1       len1     len112    0.33967
1983    3          1       len1     len116    2.11529
1983    3          1       len1     len120    11.1994
1983    3          1       len1     len124    50.4199
1983    3          1       len1     len128    193.039
1983    3          1       len1     len132    628.604
1983    3          1       len1     len136     1741.2
1983    3          1       len1     len140    4103.01
1983    3          1       len1     len144    8225.84
1983    3          1       len1     len148      14032
1983    3          1       len1     len152    20368.1
1983    3          1       len1     len156      25160
1983    4          1       len1      len20          0
1983    4          1       len1      len24          0
1983    4          1       len1      len28          0
1983    4          1       len1      len32          0
1983    4          1       len1      len36          0
1983    4          1       len1      len40          0
1983    4          1       len1      len44          0
1983    4          1       len1      len48          0
1983    4          1       len1      len52          0
1983    4          1       len1      len56          0
1983    4          1       len1      len60          0
1983    4          1       len1      len64          0
1983    4          1       len1      len68          0
1983    4          1       len1      len72          0
1983    4          1       len1      len76          0
1983    4          1       len1      len80 6.96809e-10
1983    4          1       len1      len84 1.60228e-08
1983    4          1       len1      len88 3.12604e-07
1983    4          1       len1      len92 5.17662e-06
1983    4          1       len1      len96 7.27841e-05
1983    4          1       len1     len100 0.000869143
1983    4          1       len1     len104 0.00881703
1983    4          1       len1     len108  0.0760026
1983    4          1       len1     len112   0.556799
1983    4          1       len1     len116    3.46746
1983    4          1       len1     len120    18.3585
1983    4          1       len1     len124    82.6501
1983    4          1       len1     len128    316.436
1983    4          1       len1     len132    1030.43
1983    4          1       len1     len136    2854.24
1983    4          1       len1     len140     6725.8
1983    4          1       len1     len144    13484.1
1983    4          1       len1     len148    23001.7
1983    4          1       len1     len152    33388.2
1983    4          1       len1     len156    41243.2
1984    1          1       len1      len20          0
1984    1          1       len1      len24          0
1984    1          1       len1      len28          0
1984    1          1       len1      len32          0
1984    1          1       len1      len36          0
1984    1          1       len1      len40          0
1984    1          1       len1      len44          0
1984    1          1       len1      len48          0
1984    1          1       len1      len52          0
1984    1          1       len1      len56          0
1984    1          1       len1      len60          0
1984    1          1       len1      len64          0
1984    1          1       len1      len68          0
1984    1          1       len1      len72          0
1984    1          1       len1      len76          0
1984    1          1       len1      len80 3.63982e-10
1984    1          1       len1      len84 8.3696e-09
1984    1          1       len1      len88 1.6329e-07
1984    1          1       len1      len92 2.70404e-06
1984    1          1       len1      len96 3.80192e-05
1984    1          1       len1     len100 0.000454002
1984    1          1       len1     len104 0.00460563
1984    1          1       len1     len108  0.0397004
1984    1          1       len1     len112   0.290847
1984    1          1       len1     len116    1.81125
1984    1          1       len1     len120    9.58968
1984    1          1       len1     len124    43.1727
1984    1          1       len1     len128    165.292
1984    1          1       len1     len132    538.251
1984    1          1       len1     len136    1490.93
1984    1          1       len1     len140    3513.26
1984    1          1       len1     len144    7043.49
1984    1          1       len1     len148    12015.1
1984    1          1       len1     len152    17440.5
1984    1          1       len1     len156    21543.6
1984    2          1       len1      len20          0
1984    2          1       len1      len24          0
1984    2          1       len1      len28          0
1984    2          1       len1      len32          0
1984    2          1       len1      len36          0
1984    2          1       len1      len40          0
1984    2          1       len1      len44          0
1984    2          1       len1      len48          0
1984    2          1       len1      len52          0
1984    2          1       len1      len56          0
1984    2          1       len1      len60          0
1984    2          1       len1      len64          0
1984    2          1       len1      len68          0
1984    2          1       len1      len72          0
1984    2          1       len1      len76          0
1984    2          1       len1      len80 1.40934e-10
1984    2          1       len1      len84 3.2407e-09
1984    2          1       len1      len88 6.32259e-08
1984    2          1       len1      len92  1.047e-06
1984    2          1       len1      len96 1.4721e-05
1984    2          1       len1     len100 0.000175789
1984    2          1       len1     len104 0.00178329
1984    2          1       len1     len108   0.015372
1984    2          1       len1     len112   0.112616
1984    2          1       len1     len116   0.701312
1984    2          1       len1     len120    3.71311
1984    2          1       len1     len124    16.7164
1984    2          1       len1     len128    64.0009
1984    2          1       len1     len132     208.41
1984    2          1       len1     len136    577.285
1984    2          1       len1     len140    1360.33
1984    2          1       len1     len144    2727.23
1984    2          1       len1     len148    4652.22
1984    2          1       len1     len152    6752.95
1984    2          1       len1     len156    8341.67
1984    3          1       len1      len20          0
1984    3          1       len1      len24          0
1984    3          1       len1      len28          0
1984    3          1       len1      len32          0
1984    3          1       len1      len36          0
1984    3          1       len1      len40          0
1984    3          1       len1      len44          0
1984    3          1       len1      len48          0
1984    3          1       len1      len52          0
1984    3          1       len1      len56          0
1984    3          1       len1      len60          0
1984    3          1       len1      len64          0
1984    3          1       len1      len68          0
1984    3          1       len1      len72          0
1984    3          1       len1      len76          0
1984    3          1       len1      len80 1.76181e-10
1984    3          1       len1      len84 4.05119e-09
1984    3          1       len1      len88 7.90386e-08
1984    3          1       len1      len92 1.30885e-06
1984    3          1       len1      len96 1.84027e-05
1984    3          1       len1     len100 0.000219754
1984    3          1       len1     len104 0.00222929
1984    3          1       len1     len108  0.0192165
1984    3          1       len1     len112   0.140781
1984    3          1       len1     len116   0.876709
1984    3          1       len1     len120    4.64176
1984    3          1       len1     len124    20.8972
1984    3          1       len1     len128    80.0075
1984    3          1       len1     len132    260.533
1984    3          1       len1     len136    721.663
1984    3          1       len1     len140    1700.55
1984    3          1       len1     len144    3409.31
1984    3          1       len1     len148    5815.73
1984    3          1       len1     len152    8441.84
1984    3          1       len1     len156    10427.9
1984    4          1       len1      len20          0
1984    4          1       len1      len24          0
1984    4          1       len1      len28          0
1984    4          1       len1      len32          0
1984    4          1       len1      len36          0
1984    4          1       len1      len40          0
1984    4          1       len1      len44          0
1984    4          1       len1      len48          0
1984    4          1       len1      len52          0
1984    4          1       len1      len56          0
1984    4          1       len1      len60          0
1984    4          1       len1      len64          0
1984    4          1       len1      len68          0
1984    4          1       len1      len72          0
1984    4          1       len1      len76          0
1984    4          1       len1      len80 1.00164e-09
1984    4          1       len1      len84 2.30322e-08
1984    4          1       len1      len88 4.49357e-07
1984    4          1       len1      len92 7.44121e-06
1984    4          1       len1      len96 0.000104625
1984    4          1       len1     len100 0.00124936
1984    4          1       len1     len104  0.0126742
1984    4          1       len1     len108   0.109251
1984    4          1       len1     len112   0.800379
1984    4          1       len1     len116    4.98435
1984    4          1       len1     len120    26.3897
1984    4          1       len1     len124    118.807
1984    4          1       len1     len128    454.866
1984    4          1       len1     len132    1481.21
1984    4          1       len1     len136    4102.87
1984    4          1       len1     len140     9668.1
1984    4          1       len1     len144    19382.9
1984    4          1       len1     len148    33064.1
1984    4          1       len1     len152    47994.4
1984    4          1       len1     len156    59285.7
1985    1          1       len1      len20          0
1985    1          1       len1      len24          0
1985    1          1       len1      len28          0
1985    1          1       len1      len32          0
1985    1          1       len1      len36          0
1985    1          1       len1      len40          0
1985    1          1       len1      len44          0
1985    1          1       len1      len48          0
1985    1          1       len1      len52          0
1985    1          1       len1      len56          0
1985    1          1       len1      len60          0
1985    1          1       len1      len64          0
1985    1          1       len1      len68          0
1985    1          1       len1      len72          0
1985    1          1       len1      len76          0
1985    1          1       len1      len80 2.86853e-10
1985    1          1       len1      len84 6.59605e-09
1985    1          1       len1      len88 1.28689e-07
1985    1          1       len1      len92 2.13104e-06
1985    1          1       len1      len96 2.99628e-05
1985    1          1       len1     len100 0.000357797
1985    1          1       len1     len104 0.00362968
1985    1          1       len1     len108  0.0312877
1985    1          1       len1     len112   0.229215
1985    1          1       len1     len116    1.42744
1985    1          1       len1     len120    7.55759
1985    1          1       len1     len124    34.0243
1985    1          1       len1     len128    130.266
1985    1          1       len1     len132    424.194
1985    1          1       len1     len136    1174.99
1985    1          1       len1     len140    2768.79
1985    1          1       len1     len144    5550.94
1985    1          1       len1     len148    9469.02
1985    1          1       len1     len152    13744.8
1985    1          1       len1     len156    16978.5
1985    2          1       len1      len20          0
1985    2          1       len1      len24          0
1985    2          1       len1      len28          0
1985    2          1       len1      len32          0
1985    2          1       len1      len36          0
1985    2          1       len1      len40          0
1985    2          1       len1      len44          0
1985    2          1       len1      len48          0
1985    2          1       len1      len52          0
1985    2          1       len1      len56          0
1985    2          1       len1      len60          0
1985    2          1       len1      len64          0
1985    2          1       len1      len68          0
1985    2          1       len1      len72          0
1985    2          1       len1      len76          0
1985    2          1       len1      len80          0
1985    2          1       len1      len84 3.29802e-10
1985    2          1       len1      len88 6.43443e-09
1985    2          1       len1      len92 1.06552e-07
